prname,date,numconf,numdeaths
Nunavut,4/27/2020,0,0
Repatriated travellers,4/27/2020,13,
Canada,4/27/2020,48489,2712
British Columbia,4/28/2020,2053,105
Alberta,4/28/2020,4850,80
Saskatchewan,4/28/2020,366,5
Manitoba,4/28/2020,261,6
Ontario,4/28/2020,15381,956
Quebec,4/28/2020,25757,1682
Newfoundland and Labrador,4/28/2020,258,3
New Brunswick,4/28/2020,118,0
Nova Scotia,4/28/2020,915,27
Prince Edward Island,4/28/2020,27,0
Yukon,4/28/2020,11,0
Northwest Territories,4/28/2020,5,0
Nunavut,4/28/2020,0,0
Repatriated travellers,4/28/2020,13,
Canada,4/28/2020,50015,2864
British Columbia,4/29/2020,2087,109
Alberta,4/29/2020,5165,87
Saskatchewan,4/29/2020,383,6
Manitoba,4/29/2020,263,6
Ontario,4/29/2020,15728,1001
Quebec,4/29/2020,26594,1761
Newfoundland and Labrador,4/29/2020,258,3
New Brunswick,4/29/2020,118,0
Nova Scotia,4/29/2020,935,28
Prince Edward Island,4/29/2020,27,0
Yukon,4/29/2020,11,0
Northwest Territories,4/29/2020,5,0
Nunavut,4/29/2020,0,0
Repatriated travellers,4/29/2020,13,
Canada,4/29/2020,51587,3001
British Columbia,4/30/2020,2112,111
Alberta,4/30/2020,5355,89
Saskatchewan,4/30/2020,389,6
Manitoba,4/30/2020,264,6
Ontario,4/30/2020,16187,1087
Quebec,4/30/2020,27538,1859
Newfoundland and Labrador,4/30/2020,258,3
New Brunswick,4/30/2020,118,0
Nova Scotia,4/30/2020,947,28
Prince Edward Island,4/30/2020,27,0
Yukon,4/30/2020,11,0
Northwest Territories,4/30/2020,5,0
Nunavut,4/30/2020,0,0
Repatriated travellers,4/30/2020,13,
Canada,4/30/2020,53225,3189
British Columbia,5/1/2020,2145,112
Alberta,5/1/2020,5573,92
Saskatchewan,5/1/2020,415,6
Manitoba,5/1/2020,268,6
Ontario,5/1/2020,16608,1126
Quebec,5/1/2020,28648,2022
Newfoundland and Labrador,5/1/2020,259,3
New Brunswick,5/1/2020,118,0
Nova Scotia,5/1/2020,959,29
Prince Edward Island,5/1/2020,27,0
Yukon,5/1/2020,11,0
Northwest Territories,5/1/2020,5,0
Nunavut,5/1/2020,0,0
Repatriated travellers,5/1/2020,13,
Canada,5/1/2020,55050,3396
British Columbia,5/2/2020,2171,114
Alberta,5/2/2020,5670,94
Saskatchewan,5/2/2020,421,6
Manitoba,5/2/2020,269,6
Ontario,5/2/2020,17119,1181
Quebec,5/2/2020,29656,2136
Newfoundland and Labrador,5/2/2020,259,3
New Brunswick,5/2/2020,118,0
Nova Scotia,5/2/2020,963,31
Prince Edward Island,5/2/2020,27,0
Yukon,5/2/2020,11,0
Northwest Territories,5/2/2020,5,0
Nunavut,5/2/2020,0,0
Repatriated travellers,5/2/2020,13,
Canada,5/2/2020,56703,3571
British Columbia,5/3/2020,2171,114
Alberta,5/3/2020,5766,95
Saskatchewan,5/3/2020,433,6
Manitoba,5/3/2020,270,6
Ontario,5/3/2020,17553,1221
Quebec,5/3/2020,31865,2205
Newfoundland and Labrador,5/3/2020,259,3
New Brunswick,5/3/2020,118,0
Nova Scotia,5/3/2020,971,37
Prince Edward Island,5/3/2020,27,0
Yukon,5/3/2020,11,0
Northwest Territories,5/3/2020,5,0
Nunavut,5/3/2020,0,0
Repatriated travellers,5/3/2020,13,0
Canada,5/3/2020,59463,3687
British Columbia,5/4/2020,2224,117
Alberta,5/4/2020,5836,104
Saskatchewan,5/4/2020,467,6
Manitoba,5/4/2020,270,6
Ontario,5/4/2020,17923,1305
Quebec,5/4/2020,32623,2280
Newfoundland and Labrador,5/4/2020,259,3
New Brunswick,5/4/2020,118,0
Nova Scotia,5/4/2020,985,38
Prince Edward Island,5/4/2020,27,0
Yukon,5/4/2020,11,0
Northwest Territories,5/4/2020,5,0
Nunavut,5/4/2020,0,0
Repatriated travellers,5/4/2020,13,
Canada,5/4/2020,60761,3859
British Columbia,5/5/2020,2232,121
Alberta,5/5/2020,5893,106
Saskatchewan,5/5/2020,487,6
Manitoba,5/5/2020,271,7
Ontario,5/5/2020,18310,1366
Quebec,5/5/2020,33417,2398
Newfoundland and Labrador,5/5/2020,259,3
New Brunswick,5/5/2020,119,0
Nova Scotia,5/5/2020,991,41
Prince Edward Island,5/5/2020,27,0
Yukon,5/5/2020,11,0
Northwest Territories,5/5/2020,5,0
Nunavut,5/5/2020,0,0
Repatriated travellers,5/5/2020,13,
Canada,5/5/2020,62035,4048
British Columbia,5/6/2020,2255,124
Alberta,5/6/2020,5963,112
Saskatchewan,5/6/2020,512,6
Manitoba,5/6/2020,273,7
Ontario,5/6/2020,18722,1434
Quebec,5/6/2020,34327,2510
Newfoundland and Labrador,5/6/2020,259,3
New Brunswick,5/6/2020,120,0
Nova Scotia,5/6/2020,998,41
Prince Edward Island,5/6/2020,27,0
Yukon,5/6/2020,11,0
Northwest Territories,5/6/2020,5,0
Nunavut,5/6/2020,0,0
Repatriated travellers,5/6/2020,13,
Canada,5/6/2020,63485,4237
British Columbia,5/7/2020,2288,126
Alberta,5/7/2020,6017,114
Saskatchewan,5/7/2020,531,6
Manitoba,5/7/2020,272,7
Ontario,5/7/2020,19121,1482
Quebec,5/7/2020,35238,2631
Newfoundland and Labrador,5/7/2020,261,3
New Brunswick,5/7/2020,120,0
Nova Scotia,5/7/2020,1007,44
Prince Edward Island,5/7/2020,27,0
Yukon,5/7/2020,11,0
Northwest Territories,5/7/2020,5,0
Nunavut,5/7/2020,0,0
Repatriated travellers,5/7/2020,13,
Canada,5/7/2020,64911,4413
British Columbia,5/8/2020,2315,127
Alberta,5/8/2020,6098,115
Saskatchewan,5/8/2020,544,6
Manitoba,5/8/2020,273,7
Ontario,5/8/2020,19598,1545
Quebec,5/8/2020,36150,2725
Newfoundland and Labrador,5/8/2020,261,3
New Brunswick,5/8/2020,120,0
Nova Scotia,5/8/2020,1008,46
Prince Edward Island,5/8/2020,27,0
Yukon,5/8/2020,11,0
Northwest Territories,5/8/2020,5,0
Nunavut,5/8/2020,0,0
Repatriated travellers,5/8/2020,13,
Canada,5/8/2020,66423,4574
British Columbia,5/9/2020,2330,129
Alberta,5/9/2020,6157,116
Saskatchewan,5/9/2020,553,6
Manitoba,5/9/2020,273,7
Ontario,5/9/2020,19944,1604
Quebec,5/9/2020,36986,2786
Newfoundland and Labrador,5/9/2020,261,3
New Brunswick,5/9/2020,120,0
Nova Scotia,5/9/2020,1011,47
Prince Edward Island,5/9/2020,27,0
Yukon,5/9/2020,11,0
Northwest Territories,5/9/2020,5,0
Nunavut,5/9/2020,0,0
Repatriated travellers,5/9/2020,13,
Canada,5/9/2020,67691,4698
British Columbia,5/10/2020,2330,129
Alberta,5/10/2020,6253,117
Saskatchewan,5/10/2020,564,6
Manitoba,5/10/2020,276,7
Ontario,5/10/2020,20238,1639
Quebec,5/10/2020,37721,2928
Newfoundland and Labrador,5/10/2020,261,3
New Brunswick,5/10/2020,120,0
Nova Scotia,5/10/2020,1018,47
Prince Edward Island,5/10/2020,27,0
Yukon,5/10/2020,11,0
Northwest Territories,5/10/2020,5,0
Nunavut,5/10/2020,0,0
Repatriated travellers,5/10/2020,13,
Canada,5/10/2020,68837,4876
British Columbia,5/11/2020,2353,130
Alberta,5/11/2020,6300,117
Saskatchewan,5/11/2020,568,6
Manitoba,5/11/2020,278,7
Ontario,5/11/2020,20546,1674
Quebec,5/11/2020,38469,3013
Newfoundland and Labrador,5/11/2020,261,3
New Brunswick,5/11/2020,120,0
Nova Scotia,5/11/2020,1019,48
Prince Edward Island,5/11/2020,27,0
Yukon,5/11/2020,11,0
Northwest Territories,5/11/2020,5,0
Nunavut,5/11/2020,0,0
Repatriated travellers,5/11/2020,13,
Canada,5/11/2020,69970,4998
British Columbia,5/12/2020,2360,131
Alberta,5/12/2020,6345,118
Saskatchewan,5/12/2020,573,6
Manitoba,5/12/2020,279,7
Ontario,5/12/2020,20907,1730
Quebec,5/12/2020,39225,3131
Newfoundland and Labrador,5/12/2020,261,3
New Brunswick,5/12/2020,120,0
Nova Scotia,5/12/2020,1020,48
Prince Edward Island,5/12/2020,27,0
Yukon,5/12/2020,11,0
Northwest Territories,5/12/2020,5,0
Nunavut,5/12/2020,0,0
Repatriated travellers,5/12/2020,13,
Canada,5/12/2020,71146,5174
British Columbia,5/13/2020,2376,132
Alberta,5/13/2020,6407,120
Saskatchewan,5/13/2020,577,6
Manitoba,5/13/2020,279,7
Ontario,5/13/2020,21236,1770
Quebec,5/13/2020,39931,3220
Newfoundland and Labrador,5/13/2020,261,3
New Brunswick,5/13/2020,120,0
Nova Scotia,5/13/2020,1024,51
Prince Edward Island,5/13/2020,27,0
Yukon,5/13/2020,11,0
Northwest Territories,5/13/2020,5,0
Nunavut,5/13/2020,0,0
Repatriated travellers,5/13/2020,13,
Canada,5/13/2020,72267,5309
British Columbia,5/14/2020,2392,135
Alberta,5/14/2020,6457,121
Saskatchewan,5/14/2020,582,6
Manitoba,5/14/2020,278,7
Ontario,5/14/2020,21581,1803
Quebec,5/14/2020,40724,3351
Newfoundland and Labrador,5/14/2020,261,3
New Brunswick,5/14/2020,120,0
Nova Scotia,5/14/2020,1026,51
Prince Edward Island,5/14/2020,27,0
Yukon,5/14/2020,11,0
Northwest Territories,5/14/2020,5,0
Nunavut,5/14/2020,0,0
Repatriated travellers,5/14/2020,13,
Canada,5/14/2020,73477,5477
British Columbia,5/15/2020,2407,140
Alberta,5/15/2020,6515,125
Saskatchewan,5/15/2020,590,6
Manitoba,5/15/2020,278,7
Ontario,5/15/2020,21922,1835
Quebec,5/15/2020,41420,3401
Newfoundland and Labrador,5/15/2020,260,3
New Brunswick,5/15/2020,120,0
Nova Scotia,5/15/2020,1034,55
Prince Edward Island,5/15/2020,27,0
Yukon,5/15/2020,11,0
Northwest Territories,5/15/2020,5,0
Nunavut,5/15/2020,0,0
Repatriated travellers,5/15/2020,13,
Canada,5/15/2020,74602,5572
British Columbia,5/16/2020,2428,141
Alberta,5/16/2020,6587,126
Saskatchewan,5/16/2020,591,6
Manitoba,5/16/2020,278,7
Ontario,5/16/2020,22313,1868
Quebec,5/16/2020,42183,3483
Newfoundland and Labrador,5/16/2020,260,3
New Brunswick,5/16/2020,120,0
Nova Scotia,5/16/2020,1037,55
Prince Edward Island,5/16/2020,27,0
Yukon,5/16/2020,11,0
Northwest Territories,5/16/2020,5,0
Nunavut,5/16/2020,0,0
Repatriated travellers,5/16/2020,13,
Canada,5/16/2020,75853,5689
British Columbia,5/17/2020,2428,141
Alberta,5/17/2020,6644,127
Saskatchewan,5/17/2020,592,6
Manitoba,5/17/2020,278,7
Ontario,5/17/2020,22653,1891
Quebec,5/17/2020,42920,3562
Newfoundland and Labrador,5/17/2020,260,3
New Brunswick,5/17/2020,120,0
Nova Scotia,5/17/2020,1040,55
Prince Edward Island,5/17/2020,27,0
Yukon,5/17/2020,11,0
Northwest Territories,5/17/2020,5,0
Nunavut,5/17/2020,0,0
Repatriated travellers,5/17/2020,13,
Canada,5/17/2020,76991,5792
British Columbia,5/18/2020,2444,143
Alberta,5/18/2020,6683,128
Saskatchewan,5/18/2020,592,6
Manitoba,5/18/2020,279,7
Ontario,5/18/2020,22957,1914
Quebec,5/18/2020,43627,3596
Newfoundland and Labrador,5/18/2020,260,3
New Brunswick,5/18/2020,120,0
Nova Scotia,5/18/2020,1043,55
Prince Edward Island,5/18/2020,27,0
Yukon,5/18/2020,11,0
Northwest Territories,5/18/2020,5,0
Nunavut,5/18/2020,0,0
Repatriated travellers,5/18/2020,13,
Canada,5/18/2020,78061,5852
British Columbia,5/19/2020,2446,146
Alberta,5/19/2020,6716,128
Saskatchewan,5/19/2020,599,6
Manitoba,5/19/2020,279,7
Ontario,5/19/2020,23384,1929
Quebec,5/19/2020,44197,3647
Newfoundland and Labrador,5/19/2020,260,3
New Brunswick,5/19/2020,120,0
Nova Scotia,5/19/2020,1044,56
Prince Edward Island,5/19/2020,27,0
Yukon,5/19/2020,11,0
Northwest Territories,5/19/2020,5,0
Nunavut,5/19/2020,0,0
Repatriated travellers,5/19/2020,13,
Canada,5/19/2020,79101,5922
British Columbia,5/20/2020,2467,149
Alberta,5/20/2020,6716,128
Saskatchewan,5/20/2020,620,6
Manitoba,5/20/2020,279,7
Ontario,5/20/2020,23774,1972
Quebec,5/20/2020,44775,3718
Newfoundland and Labrador,5/20/2020,260,3
New Brunswick,5/20/2020,120,0
Nova Scotia,5/20/2020,1045,57
Prince Edward Island,5/20/2020,27,0
Yukon,5/20/2020,11,0
Northwest Territories,5/20/2020,5,0
Nunavut,5/20/2020,0,0
Repatriated travellers,5/20/2020,13,
Canada,5/20/2020,80112,6040
British Columbia,5/21/2020,2479,152
Alberta,5/21/2020,6768,132
Saskatchewan,5/21/2020,622,7
Manitoba,5/21/2020,279,7
Ontario,5/21/2020,24187,2003
Quebec,5/21/2020,45495,3800
Newfoundland and Labrador,5/21/2020,260,3
New Brunswick,5/21/2020,121,0
Nova Scotia,5/21/2020,1046,58
Prince Edward Island,5/21/2020,27,0
Yukon,5/21/2020,11,0
Northwest Territories,5/21/2020,5,0
Nunavut,5/21/2020,0,0
Repatriated travellers,5/21/2020,13,
Canada,5/21/2020,81313,6162
British Columbia,5/22/2020,2507,155
Alberta,5/22/2020,6800,134
Saskatchewan,5/22/2020,627,7
Manitoba,5/22/2020,281,7
Ontario,5/22/2020,24628,2031
Quebec,5/22/2020,46141,3865
Newfoundland and Labrador,5/22/2020,260,3
New Brunswick,5/22/2020,121,0
Nova Scotia,5/22/2020,1048,58
Prince Edward Island,5/22/2020,27,0
Yukon,5/22/2020,11,0
Northwest Territories,5/22/2020,5,0
Nunavut,5/22/2020,0,0
Repatriated travellers,5/22/2020,13,
Canada,5/22/2020,82469,6260
British Columbia,5/23/2020,2517,157
Alberta,5/23/2020,6818,135
Saskatchewan,5/23/2020,630,7
Manitoba,5/23/2020,281,7
Ontario,5/23/2020,25040,2058
Quebec,5/23/2020,46838,3940
Newfoundland and Labrador,5/23/2020,260,3
New Brunswick,5/23/2020,121,0
Nova Scotia,5/23/2020,1049,58
Prince Edward Island,5/23/2020,27,0
Yukon,5/23/2020,11,0
Northwest Territories,5/23/2020,5,0
Nunavut,5/23/2020,0,0
Repatriated travellers,5/23/2020,13,
Canada,5/23/2020,83610,6365
British Columbia,5/24/2020,2517,157
Alberta,5/24/2020,6860,135
Saskatchewan,5/24/2020,632,7
Manitoba,5/24/2020,281,7
Ontario,5/24/2020,25500,2083
Quebec,5/24/2020,47411,3984
Newfoundland and Labrador,5/24/2020,260,3
New Brunswick,5/24/2020,121,0
Nova Scotia,5/24/2020,1050,58
Prince Edward Island,5/24/2020,27,0
Yukon,5/24/2020,11,0
Northwest Territories,5/24/2020,5,0
Nunavut,5/24/2020,0,0
Repatriated travellers,5/24/2020,13,
Canada,5/24/2020,84688,6434
British Columbia,5/25/2020,2530,161
Alberta,5/25/2020,6879,138
Saskatchewan,5/25/2020,634,7
Manitoba,5/25/2020,281,7
Ontario,5/25/2020,25904,2112
Quebec,5/25/2020,47984,4069
Newfoundland and Labrador,5/25/2020,260,3
New Brunswick,5/25/2020,121,0
Nova Scotia,5/25/2020,1051,58
Prince Edward Island,5/25/2020,27,0
Yukon,5/25/2020,11,0
Northwest Territories,5/25/2020,5,0
Nunavut,5/25/2020,0,0
Repatriated travellers,5/25/2020,13,
Canada,5/25/2020,85700,6555
British Columbia,5/26/2020,2541,161
Alberta,5/26/2020,6901,139
Saskatchewan,5/26/2020,634,8
Manitoba,5/26/2020,281,7
Ontario,5/26/2020,26191,2133
Quebec,5/26/2020,48598,4139
Newfoundland and Labrador,5/26/2020,260,3
New Brunswick,5/26/2020,122,0
Nova Scotia,5/26/2020,1052,59
Prince Edward Island,5/26/2020,27,0
Yukon,5/26/2020,11,0
Northwest Territories,5/26/2020,5,0
Nunavut,5/26/2020,0,0
Repatriated travellers,5/26/2020,13,
Canada,5/26/2020,86636,6649
British Columbia,5/27/2020,2550,162
Alberta,5/27/2020,6926,141
Saskatchewan,5/27/2020,637,10
Manitoba,5/27/2020,281,7
Ontario,5/27/2020,26483,2165
Quebec,5/27/2020,49139,4228
Newfoundland and Labrador,5/27/2020,260,3
New Brunswick,5/27/2020,123,0
Nova Scotia,5/27/2020,1053,59
Prince Edward Island,5/27/2020,27,0
Yukon,5/27/2020,11,0
Northwest Territories,5/27/2020,5,0
Nunavut,5/27/2020,0,0
Repatriated travellers,5/27/2020,13,
Canada,5/27/2020,87508,6775
British Columbia,5/28/2020,2558,164
Alberta,5/28/2020,6955,143
Saskatchewan,5/28/2020,639,10
Manitoba,5/28/2020,283,7
Ontario,5/28/2020,26866,2199
Quebec,5/28/2020,49702,4302
Newfoundland and Labrador,5/28/2020,261,3
New Brunswick,5/28/2020,126,0
Nova Scotia,5/28/2020,1055,59
Prince Edward Island,5/28/2020,27,0
Yukon,5/28/2020,11,0
Northwest Territories,5/28/2020,5,0
Nunavut,5/28/2020,0,0
Repatriated travellers,5/28/2020,13,
Canada,5/28/2020,88501,6887
British Columbia,5/29/2020,2562,164
Alberta,5/29/2020,6979,143
Saskatchewan,5/29/2020,641,10
Manitoba,5/29/2020,283,7
Ontario,5/29/2020,27210,2240
Quebec,5/29/2020,50232,4363
Newfoundland and Labrador,5/29/2020,261,3
New Brunswick,5/29/2020,128,0
Nova Scotia,5/29/2020,1055,59
Prince Edward Island,5/29/2020,27,0
Yukon,5/29/2020,11,0
Northwest Territories,5/29/2020,5,0
Nunavut,5/29/2020,0,0
Repatriated travellers,5/29/2020,13,
Canada,5/29/2020,89407,6989
British Columbia,5/30/2020,2573,164
Alberta,5/30/2020,6992,143
Saskatchewan,5/30/2020,645,10
Manitoba,5/30/2020,283,7
Ontario,5/30/2020,27533,2257
Quebec,5/30/2020,50651,4439
Newfoundland and Labrador,5/30/2020,261,3
New Brunswick,5/30/2020,129,0
Nova Scotia,5/30/2020,1056,60
Prince Edward Island,5/30/2020,27,0
Yukon,5/30/2020,11,0
Northwest Territories,5/30/2020,5,0
Nunavut,5/30/2020,0,0
Repatriated travellers,5/30/2020,13,
Canada,5/30/2020,90179,7083
British Columbia,5/31/2020,2573,164
Alberta,5/31/2020,7010,143
Saskatchewan,5/31/2020,646,11
Manitoba,5/31/2020,284,7
Ontario,5/31/2020,27859,2276
Quebec,5/31/2020,51059,4641
Newfoundland and Labrador,5/31/2020,261,3
New Brunswick,5/31/2020,132,0
Nova Scotia,5/31/2020,1056,60
Prince Edward Island,5/31/2020,27,0
Yukon,5/31/2020,11,0
Northwest Territories,5/31/2020,5,0
Nunavut,5/31/2020,0,0
Repatriated travellers,5/31/2020,13,
Canada,5/31/2020,90936,7305
British Columbia,6/1/2020,2597,165
Alberta,6/1/2020,7044,143
Saskatchewan,6/1/2020,646,11
Manitoba,6/1/2020,284,7
Ontario,6/1/2020,28263,2286
Quebec,6/1/2020,51354,4661
Newfoundland and Labrador,6/1/2020,261,3
New Brunswick,6/1/2020,132,0
Nova Scotia,6/1/2020,1057,60
Prince Edward Island,6/1/2020,27,0
Yukon,6/1/2020,11,0
Northwest Territories,6/1/2020,5,0
Nunavut,6/1/2020,0,0
Repatriated travellers,6/1/2020,13,
Canada,6/1/2020,91694,7336
British Columbia,6/2/2020,2601,165
Alberta,6/2/2020,7057,143
Saskatchewan,6/2/2020,646,11
Manitoba,6/2/2020,286,7
Ontario,6/2/2020,28709,2303
Quebec,6/2/2020,51593,4713
Newfoundland and Labrador,6/2/2020,261,3
New Brunswick,6/2/2020,133,0
Nova Scotia,6/2/2020,1057,60
Prince Edward Island,6/2/2020,27,0
Yukon,6/2/2020,11,0
Northwest Territories,6/2/2020,5,0
Nunavut,6/2/2020,0,0
Repatriated travellers,6/2/2020,13,
Canada,6/2/2020,92399,7405
British Columbia,6/3/2020,2623,166
Alberta,6/3/2020,7076,145
Saskatchewan,6/3/2020,647,11
Manitoba,6/3/2020,287,7
Ontario,6/3/2020,29047,2322
Quebec,6/3/2020,51884,4794
Newfoundland and Labrador,6/3/2020,261,3
New Brunswick,6/3/2020,135,0
Nova Scotia,6/3/2020,1058,60
Prince Edward Island,6/3/2020,27,0
Yukon,6/3/2020,11,0
Northwest Territories,6/3/2020,5,0
Nunavut,6/3/2020,0,0
Repatriated travellers,6/3/2020,13,
Canada,6/3/2020,93074,7508
British Columbia,6/4/2020,2632,166
Alberta,6/4/2020,7091,146
Saskatchewan,6/4/2020,648,11
Manitoba,6/4/2020,287,7
Ontario,6/4/2020,29403,2367
Quebec,6/4/2020,52143,4885
Newfoundland and Labrador,6/4/2020,261,3
New Brunswick,6/4/2020,136,1
Nova Scotia,6/4/2020,1058,61
Prince Edward Island,6/4/2020,27,0
Yukon,6/4/2020,11,0
Northwest Territories,6/4/2020,5,0
Nunavut,6/4/2020,0,0
Repatriated travellers,6/4/2020,13,
Canada,6/4/2020,93715,7647
British Columbia,6/5/2020,2632,167
Alberta,6/5/2020,7098,146
Saskatchewan,6/5/2020,649,11
Manitoba,6/5/2020,289,7
Ontario,6/5/2020,29747,2382
Quebec,6/5/2020,52398,4935
Newfoundland and Labrador,6/5/2020,261,3
New Brunswick,6/5/2020,136,1
Nova Scotia,6/5/2020,1058,61
Prince Edward Island,6/5/2020,27,0
Yukon,6/5/2020,11,0
Northwest Territories,6/5/2020,5,0
Nunavut,6/5/2020,0,0
Repatriated travellers,6/5/2020,13,
Canada,6/5/2020,94324,7713
British Columbia,6/6/2020,2632,167
Alberta,6/6/2020,7138,146
Saskatchewan,6/6/2020,650,11
Manitoba,6/6/2020,289,7
Ontario,6/6/2020,30202,2417
Quebec,6/6/2020,52624,4970
Newfoundland and Labrador,6/6/2020,261,3
New Brunswick,6/6/2020,136,1
Nova Scotia,6/6/2020,1058,61
Prince Edward Island,6/6/2020,27,0
Yukon,6/6/2020,11,0
Northwest Territories,6/6/2020,5,0
Nunavut,6/6/2020,0,0
Repatriated travellers,6/6/2020,13,
Canada,6/6/2020,95046,7783
British Columbia,6/7/2020,2632,167
Alberta,6/7/2020,7138,146
Saskatchewan,6/7/2020,650,11
Manitoba,6/7/2020,289,7
Ontario,6/7/2020,30617,2436
Quebec,6/7/2020,52849,4978
Newfoundland and Labrador,6/7/2020,261,3
New Brunswick,6/7/2020,137,1
Nova Scotia,6/7/2020,1059,61
Prince Edward Island,6/7/2020,27,0
Yukon,6/7/2020,11,0
Northwest Territories,6/7/2020,5,0
Nunavut,6/7/2020,0,0
Repatriated travellers,6/7/2020,13,
Canada,6/7/2020,95688,7810
British Columbia,6/8/2020,2659,167
Alberta,6/8/2020,11067,149
Saskatchewan,6/8/2020,654,13
Manitoba,6/8/2020,289,7
Ontario,6/8/2020,30860,2460
Quebec,6/8/2020,53047,4984
Newfoundland and Labrador,6/8/2020,261,3
New Brunswick,6/8/2020,146,1
Nova Scotia,6/8/2020,1059,61
Prince Edward Island,6/8/2020,27,0
Yukon,6/8/2020,11,0
Northwest Territories,6/8/2020,5,0
Nunavut,6/8/2020,0,0
Repatriated travellers,6/8/2020,13,
Canada,6/8/2020,96233,7845
British Columbia,6/9/2020,2669,167
Alberta,6/9/2020,7229,151
Saskatchewan,6/9/2020,656,13
Manitoba,6/9/2020,289,7
Ontario,6/9/2020,31090,2474
Quebec,6/9/2020,53185,5029
Newfoundland and Labrador,6/9/2020,261,3
New Brunswick,6/9/2020,147,1
Nova Scotia,6/9/2020,1060,62
Prince Edward Island,6/9/2020,27,0
Yukon,6/9/2020,11,0
Northwest Territories,6/9/2020,5,0
Nunavut,6/9/2020,0,0
Repatriated travellers,6/9/2020,13,
Canada,6/9/2020,96642,7907
British Columbia,6/10/2020,2680,167
Alberta,6/10/2020,7276,151
Saskatchewan,6/10/2020,658,13
Manitoba,6/10/2020,289,7
Ontario,6/10/2020,31341,2485
Quebec,6/10/2020,53341,5081
Newfoundland and Labrador,6/10/2020,261,3
New Brunswick,6/10/2020,151,1
Nova Scotia,6/10/2020,1061,62
Prince Edward Island,6/10/2020,27,0
Yukon,6/10/2020,11,0
Northwest Territories,6/10/2020,5,0
Nunavut,6/10/2020,0,0
Repatriated travellers,6/10/2020,13,
Canada,6/10/2020,97114,7970
British Columbia,6/11/2020,2694,167
Alberta,6/11/2020,7316,149
Saskatchewan,6/11/2020,660,13
Manitoba,6/11/2020,289,7
Ontario,6/11/2020,31544,2497
Quebec,6/11/2020,53485,5105
Newfoundland and Labrador,6/11/2020,261,3
New Brunswick,6/11/2020,153,1
Nova Scotia,6/11/2020,1061,62
Prince Edward Island,6/11/2020,27,0
Yukon,6/11/2020,11,0
Northwest Territories,6/11/2020,5,0
Nunavut,6/11/2020,0,0
Repatriated travellers,6/11/2020,13,
Canada,6/11/2020,97519,8004
British Columbia,6/12/2020,2709,168
Alberta,6/12/2020,7346,149
Saskatchewan,6/12/2020,663,13
Manitoba,6/12/2020,290,7
Ontario,6/12/2020,31726,2508
Quebec,6/12/2020,53666,5148
Newfoundland and Labrador,6/12/2020,261,3
New Brunswick,6/12/2020,154,1
Nova Scotia,6/12/2020,1061,62
Prince Edward Island,6/12/2020,27,0
Yukon,6/12/2020,11,0
Northwest Territories,6/12/2020,5,0
Nunavut,6/12/2020,0,0
Repatriated travellers,6/12/2020,13,
Canada,6/12/2020,97932,8059
British Columbia,6/13/2020,2709,168
Alberta,6/13/2020,7383,150
Saskatchewan,6/13/2020,664,13
Manitoba,6/13/2020,292,7
Ontario,6/13/2020,31992,2517
Quebec,6/13/2020,53824,5195
Newfoundland and Labrador,6/13/2020,261,3
New Brunswick,6/13/2020,157,2
Nova Scotia,6/13/2020,1061,62
Prince Edward Island,6/13/2020,27,0
Yukon,6/13/2020,11,0
Northwest Territories,6/13/2020,5,0
Nunavut,6/13/2020,0,0
Repatriated travellers,6/13/2020,13,
Canada,6/13/2020,98399,8117
British Columbia,6/14/2020,2709,168
Alberta,6/14/2020,7433,150
Saskatchewan,6/14/2020,665,13
Manitoba,6/14/2020,293,7
Ontario,6/14/2020,32189,2529
Quebec,6/14/2020,53952,5222
Newfoundland and Labrador,6/14/2020,261,3
New Brunswick,6/14/2020,157,2
Nova Scotia,6/14/2020,1061,62
Prince Edward Island,6/14/2020,27,0
Yukon,6/14/2020,11,0
Northwest Territories,6/14/2020,5,0
Nunavut,6/14/2020,0,0
Repatriated travellers,6/14/2020,13,
Canada,6/14/2020,98776,8156
British Columbia,6/15/2020,2745,168
Alberta,6/15/2020,7453,151
Saskatchewan,6/15/2020,683,13
Manitoba,6/15/2020,293,7
Ontario,6/15/2020,32370,2542
Quebec,6/15/2020,54054,5242
Newfoundland and Labrador,6/15/2020,261,3
New Brunswick,6/15/2020,160,2
Nova Scotia,6/15/2020,1061,62
Prince Edward Island,6/15/2020,27,0
Yukon,6/15/2020,11,0
Northwest Territories,6/15/2020,5,0
Nunavut,6/15/2020,0,0
Repatriated travellers,6/15/2020,13,
Canada,6/15/2020,99136,8190
British Columbia,6/16/2020,2756,168
Alberta,6/16/2020,7482,151
Saskatchewan,6/16/2020,684,13
Manitoba,6/16/2020,293,7
Ontario,6/16/2020,32554,2553
Quebec,6/16/2020,54146,5269
Newfoundland and Labrador,6/16/2020,261,3
New Brunswick,6/16/2020,163,2
Nova Scotia,6/16/2020,1061,62
Prince Edward Island,6/16/2020,27,0
Yukon,6/16/2020,11,0
Northwest Territories,6/16/2020,5,0
Nunavut,6/16/2020,0,0
Repatriated travellers,6/16/2020,13,
Canada,6/16/2020,99456,8228
British Columbia,6/17/2020,2775,168
Alberta,6/17/2020,7530,151
Saskatchewan,6/17/2020,693,13
Manitoba,6/17/2020,295,7
Ontario,6/17/2020,32744,2565
Quebec,6/17/2020,54263,5298
Newfoundland and Labrador,6/17/2020,261,3
