prname,date,numconf,numdeaths
Canada,3/17/2020,424,8
British Columbia,3/18/2020,186,7
Alberta,3/18/2020,97,0
Saskatchewan,3/18/2020,2,0
Manitoba,3/18/2020,8,0
Ontario,3/18/2020,189,1
Quebec,3/18/2020,74,1
Newfoundland and Labrador,3/18/2020,0,0
New Brunswick,3/18/2020,2,0
Nova Scotia,3/18/2020,1,0
Prince Edward Island,3/18/2020,1,0
Yukon,3/18/2020,0,0
Northwest Territories,3/18/2020,0,0
Nunavut,3/18/2020,0,0
Repatriated travellers,3/18/2020,9,0
Canada,3/18/2020,569,9
British Columbia,3/19/2020,271,8
Alberta,3/19/2020,146,1
Saskatchewan,3/19/2020,8,0
Manitoba,3/19/2020,17,0
Ontario,3/19/2020,258,2
Quebec,3/19/2020,121,1
Newfoundland and Labrador,3/19/2020,1,0
New Brunswick,3/19/2020,7,0
Nova Scotia,3/19/2020,5,0
Prince Edward Island,3/19/2020,2,0
Yukon,3/19/2020,0,0
Northwest Territories,3/19/2020,0,0
Nunavut,3/19/2020,0,0
Repatriated travellers,3/19/2020,10,0
Canada,3/19/2020,846,12
British Columbia,3/20/2020,271,9
Alberta,3/20/2020,195,1
Saskatchewan,3/20/2020,8,0
Manitoba,3/20/2020,17,0
Ontario,3/20/2020,311,2
Quebec,3/20/2020,139,1
Newfoundland and Labrador,3/20/2020,3,0
New Brunswick,3/20/2020,7,0
Nova Scotia,3/20/2020,5,0
Prince Edward Island,3/20/2020,2,0
Yukon,3/20/2020,0,0
Northwest Territories,3/20/2020,0,0
Nunavut,3/20/2020,0,0
Repatriated travellers,3/20/2020,13,0
Canada,3/20/2020,971,13
British Columbia,3/21/2020,424,10
Alberta,3/21/2020,226,1
Saskatchewan,3/21/2020,25,0
Manitoba,3/21/2020,11,0
Ontario,3/21/2020,377,3
Quebec,3/21/2020,202,4
Newfoundland and Labrador,3/21/2020,3,0
New Brunswick,3/21/2020,9,0
Nova Scotia,3/21/2020,9,0
Prince Edward Island,3/21/2020,2,0
Yukon,3/21/2020,0,0
Northwest Territories,3/21/2020,1,0
Nunavut,3/21/2020,0,0
Repatriated travellers,3/21/2020,13,0
Canada,3/21/2020,1302,18
British Columbia,3/22/2020,424,10
Alberta,3/22/2020,259,1
Saskatchewan,3/22/2020,33,0
Manitoba,3/22/2020,11,0
Ontario,3/22/2020,425,5
Quebec,3/22/2020,221,4
Newfoundland and Labrador,3/22/2020,3,0
New Brunswick,3/22/2020,9,0
Nova Scotia,3/22/2020,28,0
Prince Edward Island,3/22/2020,3,0
Yukon,3/22/2020,0,0
Northwest Territories,3/22/2020,1,0
Nunavut,3/22/2020,0,0
Repatriated travellers,3/22/2020,13,0
Canada,3/22/2020,1430,20
British Columbia,3/23/2020,472,13
Alberta,3/23/2020,301,1
Saskatchewan,3/23/2020,65,0
Manitoba,3/23/2020,11,0
Ontario,3/23/2020,503,6
Quebec,3/23/2020,221,4
Newfoundland and Labrador,3/23/2020,4,0
New Brunswick,3/23/2020,9,0
Nova Scotia,3/23/2020,41,0
Prince Edward Island,3/23/2020,3,0
Yukon,3/23/2020,2,0
Northwest Territories,3/23/2020,1,0
Nunavut,3/23/2020,0,0
Repatriated travellers,3/23/2020,13,0
Canada,3/23/2020,1646,24
British Columbia,3/24/2020,617,13
Alberta,3/24/2020,358,2
Saskatchewan,3/24/2020,72,0
Manitoba,3/24/2020,11,0
Ontario,3/24/2020,588,8
Quebec,3/24/2020,221,4
Newfoundland and Labrador,3/24/2020,4,0
